Flow Duration,Total Fwd Packets,Total Backward Packets,Packet Length Mean,Flow Bytes/s,Protocol,Destination Port,Label
0,1,0,66.0,0,6,27017,0
47073,1,1,60.0,2549.186495274562,6,64146,0
7083923,2,0,167.0,47.149010723903,17,1900,0
8432017,8,0,387.0,367.1719210447055,17,5353,0
8470260,9,0,387.0,411.2034156028538,17,5353,0
3710942,2,0,288.5,155.48610600790076,17,5353,0
8962870,4,0,92.0,41.05827653774498,17,137,0
3212297,3,0,417.6666666666667,390.06350550330757,17,5353,0
9582618,4,0,92.0,38.40286270915232,17,137,0
0,1,0,1194.0,0,17,5353,0
0,1,0,65.0,0,17,5355,0
4832646,6,0,145.5,180.64637389997142,17,5353,0
0,1,0,1159.0,0,17,5353,0
0,1,0,55.0,0,6,443,0
47359,1,1,54.5,2301.546194120016,6,49286,0
8534465,6,0,387.0,272.0732910287732,17,5353,0
9245452,10,0,387.0,418.584156954626,17,5353,0
10342910,4,0,92.0,35.57992766931197,17,137,0
10325887,4,0,92.0,35.63858167990317,17,137,0
10412517,4,0,92.0,35.342078103941994,17,137,0
6786493,2,0,698.0,205.70269341758578,17,3702,0
10450575,6,0,92.0,52.82005715753497,17,137,0
10444812,3,0,92.0,26.424601240328467,17,137,0
10246731,3,0,350.0,102.47169778482471,17,5353,0
9601583,10,0,411.0,428.0543941740109,17,5353,0
10993510,11,0,916.6363636363636,917.1774977047882,17,5353,0
0,1,0,401.0,0,17,2200,0
9366884,7,0,387.0,289.21036419670753,17,5353,0
0,1,0,87.0,0,17,5353,0
11090719,5,0,92.0,41.4761180923022,17,137,0
11206771,5,0,92.0,41.04661232560911,17,137,0
0,1,0,100.0,0,17,5353,0
60864,2,0,162.0,5323.283765203596,17,5353,0
11217788,7,0,92.0,57.408818924628214,17,137,0
11329706,5,0,92.0,40.6012276791398,17,137,0
0,1,0,55.0,0,6,443,0
10732060,4,0,389.0,144.98613847696083,17,5353,0
5134592,4,0,363.25,282.9825196764327,17,5353,0
9981679,8,0,387.0,310.168245609501,17,5353,0
0,1,0,112.0,0,17,5353,0
293643,1,1,60.5,412.0636553775803,6,57166,0
0,1,0,100.0,0,6,56886,0
53409,1,1,77.0,2883.3909157868893,6,443,0
0,1,0,465.0,0,17,5353,0
948487,2,0,87.0,183.44996248345691,17,5353,0
11851060,2,0,219.0,36.9587188302384,17,5353,0
11964155,5,0,92.0,38.44817985502768,17,137,0
11983392,4,0,92.0,30.70916571095778,17,137,0
1011499,3,0,136.66666666666666,405.3387489608223,17,5353,0
6796926,2,0,460.0,135.35529153413398,17,5353,0
0,1,0,152.0,0,17,5353,0
2616000,2,0,692.0,529.051952279832,17,5353,0
678867,2,1,69.33333333333333,306.3928116247421,6,56886,0
735035,2,2,65.5,356.4455236378274,6,443,0
0,1,0,55.0,0,6,443,0
874197,3,2,63.2,361.4745849615234,6,56886,0
127392,1,1,60.5,949.8202098730543,6,64491,0
3481723,2,1,62.0,53.421813867009675,6,27017,0
3546268,2,2,60.0,67.67677592103388,6,64146,0
9364049,3,0,212.0,67.91933560698864,17,1900,0
9416895,2,0,87.0,18.47742730507147,17,5353,0
12093213,11,0,387.0,352.0156143372264,17,5353,0
6347850,3,0,110.0,51.98610288883145,17,137,0
12067047,11,0,411.0,374.6566734502513,17,5353,0
0,1,0,467.0,0,17,5353,0
6952441,5,0,330.6,237.7581967811833,17,5353,0
3562205,2,0,65.0,36.49424194165655,17,5355,0
7707210,3,0,344.0,133.90059326775264,17,5353,0
11920727,9,0,387.0,292.18014279720757,17,5353,0
0,1,0,435.0,0,17,5353,0
8401350,4,0,245.75,117.00500153003235,17,5353,0
9830076,2,0,87.0,17.700777461640495,17,5353,0
2585855,4,0,151.0,233.57844825980638,17,5353,0
13849243,6,0,92.0,39.8577723313229,17,137,0
13976523,6,0,92.0,39.49480026095417,17,137,0
12154652,2,0,179.0,29.453742442155164,17,1900,0
13939874,8,0,92.0,52.79817921822358,17,137,0
14052801,6,0,92.0,39.280424268575395,17,137,0
0,1,0,92.0,0,17,137,0
45955,2,0,92.0,4003.8387781253728,17,137,0
14069137,6,0,92.0,39.234815626400284,17,137,0
0,1,0,467.0,0,17,5353,0
8393170,2,0,474.0,112.94896991805646,17,5353,0
0,1,0,467.0,0,17,5353,0
0,1,0,401.0,0,17,5353,0
8923472,2,0,460.0,103.09887881068798,17,5353,0
8440992,3,0,697.6666666666666,247.95662082987081,17,5353,0
0,1,0,234.0,0,17,17500,0
31038,2,0,234.0,15077.921374034075,17,17500,0
62104,3,0,234.0,11303.491965019233,17,17500,0
93960,4,0,234.0,9961.605034255264,17,17500,0
122925,5,0,234.0,9517.95852106434,17,17500,0
161006,6,0,234.0,8720.14751151323,17,17500,0
0,1,0,234.0,0,17,17500,0
225434,7,0,234.0,7265.982632128342,17,17500,0
255102,8,0,234.0,7338.222924209656,17,17500,0
7314408,1,2,66.0,27.069859689334518,6,57631,0
14002451,5,4,59.0,37.921931244695905,6,7680,0
8520567,6,0,314.0,221.11202870032673,17,5353,0
0,1,0,422.0,0,17,5353,0
14849927,7,0,92.0,43.36721600663812,17,137,0
14849785,5,0,92.0,30.976877784520312,17,137,0
14881244,6,0,92.0,37.0936708447042,17,137,0
4042258,3,0,87.0,64.56786470534215,17,5353,0
15117647,7,0,92.0,42.59922013007505,17,137,0
15221159,7,0,92.0,42.309523913575056,17,137,0
15119228,9,0,92.0,54.764700497624844,17,137,0
15210561,7,0,92.0,42.33900237091549,17,137,0
0,1,0,463.0,0,17,5353,0
10773109,2,0,159.0,29.517940843888756,17,1900,0
0,1,0,75.0,0,17,5353,0
18563,2,0,75.0,8080.472643205754,17,5353,0
14486214,5,5,58.5,40.38322116968965,6,64137,0
14508939,6,5,58.90909090909091,44.66211945712707,6,7680,0
13613147,3,0,179.0,39.44716014546161,17,1900,0
0,1,0,450.0,0,17,5353,0
4448025,4,0,87.0,78.23695796803365,17,5353,0
0,1,0,212.0,0,17,1900,0
0,1,0,87.0,0,17,5353,0
0,1,0,167.0,0,17,1900,0
4379420,5,0,159.6,182.21590812025661,17,5353,0
0,1,0,391.0,0,17,5353,0
13519459,5,0,76.0,28.10763357781092,17,5353,0
13536217,6,0,76.0,33.6874014927553,17,5353,0
0,1,0,66.0,0,6,2869,0
0,1,0,70.0,0,17,5355,0
0,1,0,70.0,0,17,5355,0
14807904,6,6,58.5,47.40711369129798,6,64137,0
0,1,0,480.0,0,17,51004,0
525295,2,0,414.0,1576.2570932809622,17,5353,0
6942865,3,0,146.66666666666666,63.374412660063,17,5353,0
16128265,5,0,92.0,28.52135524418358,17,137,0
9494814,7,0,310.2857142857143,228.75645209838444,17,5353,0
14775743,12,0,411.0,333.7902993518471,17,5353,0
14339460,10,0,387.0,269.88462401389677,17,5353,0
16143564,12,0,849.4166666666666,631.397122618866,17,5353,0
6858089,1,2,66.0,28.87101451935608,6,57673,0
6763128,3,2,61.2,45.24533589926045,6,27017,0
6790612,3,3,60.0,53.01436389779289,6,64146,0
15128704,12,0,387.0,306.9661471459561,17,5353,0
0,1,0,82.0,0,17,1947,0
10866628,2,0,167.0,30.73630318348052,17,1900,0
5000684,6,0,165.33333333333334,198.3728427681166,17,5353,0
0,1,0,179.0,0,17,1900,0
933885,3,0,75.0,240.92893564690723,17,5353,0
953172,4,0,75.0,314.7382736473701,17,5353,0
0,1,0,69.0,0,17,5355,0
0,1,0,69.0,0,17,5355,0
5224282,7,0,173.71428571428572,232.7592139750626,17,5353,0
0,1,0,92.0,0,17,137,0
16544093,8,0,92.0,44.48717574990102,17,137,0
16375570,8,0,92.0,44.94499826320849,17,137,0
16376696,7,0,92.0,39.324169962738054,17,137,0
14483103,7,0,76.0,36.73245918969078,17,5353,0
0,1,0,70.0,0,17,5355,0
16910088,6,0,92.0,32.64323535165894,17,137,0
1009632,2,0,70.0,138.66433671294695,17,5355,0
1021953,2,0,70.0,136.99258722157754,17,5355,0
0,1,0,75.0,0,17,5355,0
16764676,8,0,92.0,43.9018323927528,17,137,0
16706116,10,0,92.0,55.069649320349825,17,137,0
0,1,0,75.0,0,17,5355,0
13208748,4,0,81.0,24.529196858684784,17,5353,0
16314449,5,0,92.0,28.19586354439007,17,137,0
5719523,8,0,187.25,261.9099114601427,17,5353,0
5896764,5,0,87.0,73.7692676650781,17,5353,0
0,1,0,66.0,0,6,53,0
0,1,0,66.0,0,6,53,0
55877,1,1,66.0,2362.3126464049974,6,63301,0
44744,1,1,66.0,2950.083805788823,6,60323,0
100477,2,1,62.0,1851.1527139416517,6,53,0
99949,2,1,62.0,1860.9468222901266,6,53,0
145249,3,1,60.5,1666.1002068218377,6,53,0
196767,4,1,65.2,1656.7770915651586,6,53,0
259545,3,1,60.5,932.3997604288764,6,53,0
289872,4,1,65.2,1124.6308887454095,6,53,0
291344,4,2,63.333333333333336,1304.2982617654689,6,60323,0
348680,4,2,63.333333333333336,1089.8236751361223,6,63301,0
