packet_length,protocol,src_port,dst_port
54,6,57317,2869
290,17,5353,5353
263,17,5353,5353
310,-1,5353,5353
82,17,5353,5353
102,-1,5353,5353
56,-1,0,0
82,17,5353,5353
102,-1,5353,5353
387,17,5353,5353
387,17,5353,5353
70,17,49668,22222
125,17,10004,10004
125,17,10004,10004
70,17,49673,22222
76,17,49679,5353
125,17,10004,10004
70,17,49669,22222
70,17,49670,22222
56,17,49675,3289
70,17,49671,22222
96,-1,49680,5353
70,17,49672,22222
56,17,49674,3289
411,17,5353,5353
56,17,49676,3289
76,17,49679,5353
443,-1,5353,5353
96,-1,49680,5353
76,17,49679,5353
96,-1,49680,5353
54,6,57317,2869
66,6,57319,2869
54,6,2869,57317
66,6,2869,57319
515,-1,1900,59306
